epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.743,1.50544,2.90601,1.61576,0.00356,1,0.73083,0.48436,0.86974,3.49406,1.31024,0.00030006,0.00030006,0.00030006
2,71.3272,1.34314,2.00312,1.47555,0.69019,0.08548,0.59084,0.34885,1.22249,3.41031,1.52678,0.000596436,0.000596436,0.000596436
3,101.246,1.32743,1.89592,1.46437,0.70768,0.24121,0.70213,0.41557,1.13622,3.19331,1.53204,0.000871908,0.000871908,0.000871908
4,130.718,1.28474,1.69653,1.37291,0.75384,0.79433,0.87389,0.49674,1.2756,2.70642,1.61384,0.00112648,0.00112648,0.00112648
5,162.438,1.37855,1.74936,1.42115,0.80009,0.86111,0.88729,0.48802,1.2584,2.77525,1.6197,0.00136014,0.00136014,0.00136014
6,199.809,1.25809,1.54933,1.37314,0.65407,0.88001,0.78289,0.44288,1.42843,2.89938,1.92907,0.00139195,0.00139195,0.00139195
7,233.51,1.3608,1.63428,1.43049,0.75988,0.82328,0.86143,0.50827,1.46117,2.85623,1.96882,0.00133693,0.00133693,0.00133693
8,266.595,1.40934,1.65445,1.44984,0.5536,0.9284,0.84573,0.51292,1.27627,2.85793,1.62062,0.00128192,0.00128192,0.00128192
9,302.216,1.2408,1.55509,1.38193,0.87706,0.97504,0.90955,0.58109,1.30187,1.76594,1.5613,0.00122691,0.00122691,0.00122691
10,343.418,1.3111,1.51105,1.47463,0.89104,1,0.95807,0.65401,1.06718,1.61432,1.35608,0.0011719,0.0011719,0.0011719
11,380.358,1.28043,1.49045,1.39147,0.9914,0.97001,0.99368,0.59315,1.24813,2.19851,1.50428,0.00111689,0.00111689,0.00111689
12,417.675,1.35358,1.45084,1.44122,0.9535,0.99561,0.995,0.64778,1.16918,1.54876,1.49872,0.00106188,0.00106188,0.00106188
13,451.488,1.27971,1.34899,1.34738,0.9246,0.97696,0.99211,0.69435,1.04623,1.39512,1.35347,0.00100687,0.00100687,0.00100687
14,490.111,1.19108,1.23209,1.34525,0.99361,0.97222,0.99368,0.68191,1.1189,1.44088,1.37648,0.000951857,0.000951857,0.000951857
15,531.288,1.17537,1.19386,1.29922,0.94063,0.97222,0.98083,0.69962,1.05516,1.35449,1.33806,0.000896846,0.000896846,0.000896846
16,568.651,1.16933,1.20868,1.29183,0.99417,0.96368,0.99368,0.68862,1.05339,1.37931,1.3947,0.000841835,0.000841835,0.000841835
17,608.247,1.14633,1.14044,1.27082,0.94598,1,0.995,0.70956,1.03891,1.27217,1.32638,0.000786824,0.000786824,0.000786824
18,647.221,1.26209,1.15949,1.35182,0.96507,1,0.99368,0.67269,1.14373,1.28354,1.37239,0.000731813,0.000731813,0.000731813
19,684.268,1.15121,1.08851,1.26519,0.9912,0.97222,0.99368,0.63344,1.21863,1.27773,1.43163,0.000676802,0.000676802,0.000676802
20,721.419,1.12251,1.06143,1.26747,0.97668,1,0.995,0.67748,1.12425,1.21469,1.43509,0.000621791,0.000621791,0.000621791
21,754.901,0.94829,1.25105,1.26891,0.97362,1,0.995,0.70765,0.99728,1.19396,1.31299,0.00056678,0.00056678,0.00056678
22,788.788,0.95213,1.15594,1.22013,0.98642,1,0.995,0.72496,1.04281,1.2355,1.32327,0.000511769,0.000511769,0.000511769
23,823.505,0.89559,1.1089,1.23465,0.99245,1,0.995,0.68765,1.10545,1.1652,1.35657,0.000456758,0.000456758,0.000456758
24,853.992,0.89697,1.09448,1.1985,0.99208,1,0.995,0.70763,1.03681,1.14003,1.3277,0.000401747,0.000401747,0.000401747
25,884.269,0.86391,1.00997,1.19536,0.99346,1,0.995,0.68709,1.08971,1.08729,1.38905,0.000346736,0.000346736,0.000346736
26,914.982,0.81494,0.99771,1.14283,0.99554,1,0.995,0.6912,1.06878,1.05903,1.34447,0.000291725,0.000291725,0.000291725
27,944.839,0.84886,0.95409,1.18711,0.99544,1,0.995,0.72755,1.01866,1.04464,1.30515,0.000236714,0.000236714,0.000236714
28,974.373,0.81585,0.95812,1.15371,0.99564,1,0.995,0.74373,0.98467,1.00717,1.25311,0.000181703,0.000181703,0.000181703
29,1004.33,0.84833,0.95386,1.1526,0.9959,1,0.995,0.74931,0.98468,0.99726,1.24344,0.000126692,0.000126692,0.000126692
30,1034.43,0.80636,0.92715,1.15352,0.99464,1,0.995,0.75321,0.9907,0.98277,1.24675,7.1681e-05,7.1681e-05,7.1681e-05
